date,最高温度,最低温度,空气质量
2020/3/5,9,-2,54
2020/3/6,10,1,109
2020/3/7,15,1,81
2020/3/8,6,5,129
2020/3/9,11,-1,74
2020/3/10,11,-4,33
2020/3/11,16,1,44
2020/3/12,14,-2,43
2020/3/13,12,-1,30
2020/3/14,16,3,34
2020/3/15,18,0,34
2020/3/16,12,3,57
2020/3/17,23,3,56
2020/3/18,26,5,105
2020/3/19,17,4,36
2020/3/20,24,7,53
2020/3/21,17,3,66
2020/3/22,21,7,59
2020/3/23,22,6,54
2020/3/24,18,5,67
2020/3/25,21,5,155
2020/3/26,12,2,41
2020/3/27,13,-1,27
2020/3/28,14,2,30
2020/3/29,16,5,62
2020/3/30,18,7,87
2020/3/31,19,7,87
2020/4/1,16,3,45
2020/4/2,20,7,39
2020/4/3,24,9,42
2020/4/4,18,4,99
2020/4/5,19,6,67
2020/4/6,23,9,85
2020/4/7,18,5,87
2020/4/8,15,7,54
2020/4/9,12,4,53
2020/4/10,17,6,58
2020/4/11,23,10,46
2020/4/12,25,6,45
2020/4/13,27,10,57
2020/4/14,26,11,94
2020/4/15,24,11,94
2020/4/16,19,11,76
2020/4/17,21,8,47
2020/4/18,22,11,46
2020/4/19,21,10,68
2020/4/20,15,4,67
2020/4/21,13,4,34
2020/4/22,16,6,46
2020/4/23,19,6,31
2020/4/24,29,12,84
2020/4/25,22,9,57
2020/4/26,22,7,37
2020/4/27,28,11,61
2020/4/28,27,16,102
2020/4/29,28,15,118
2020/4/30,32,17,143
2020/5/1,34,21,179
2020/5/2,32,17,149
2020/5/3,25,14,102
2020/5/4,17,10,52
2020/5/5,22,13,65
2020/5/6,25,13,114
2020/5/7,19,13,117
2020/5/8,15,10,58
2020/5/9,19,13,47
2020/5/10,25,14,56
2020/5/11,27,13,75
2020/5/12,26,12,97
2020/5/13,30,18,117
2020/5/14,30,15,104
2020/5/15,22,15,93
2020/5/16,22,13,66
2020/5/17,22,14,66
2020/5/18,26,15,42
2020/5/19,30,15,54
2020/5/20,29,16,68
2020/5/21,22,15,114
2020/5/22,29,16,79
2020/5/23,26,16,56
2020/5/24,29,17,33
2020/5/25,24,13,44
2020/5/26,28,16,34
2020/5/27,30,16,45
2020/5/28,32,17,82
2020/5/29,29,21,111
2020/5/30,31,18,116
2020/5/31,28,16,73
2020/6/1,31,16,62
2020/6/2,32,20,89
2020/6/3,36,20,168
2020/6/4,32,18,44
2020/6/5,30,17,42
2020/6/6,31,19,64
2020/6/7,35,24,83
2020/6/8,37,26,97
2020/6/9,28,21,73
2020/6/10,33,21,93
2020/6/11,31,21,85
2020/6/12,34,23,80
2020/6/13,32,23,95
2020/6/14,34,22,36
2020/6/15,37,22,62
2020/6/16,36,24,100
2020/6/17,31,21,66
2020/6/18,32,22,63
2020/6/19,32,24,59
2020/6/20,33,25,81
2020/6/21,34,25,75
2020/6/22,32,24,86
2020/6/23,31,22,73
2020/6/24,29,22,35
2020/6/25,29,20,51
2020/6/26,28,21,44
2020/6/27,32,22,111
2020/6/28,30,22,101
2020/6/29,27,21,48
2020/6/30,34,22,41
2020/7/1,34,22,74
2020/7/2,28,21,49
2020/7/3,27,20,71
2020/7/4,30,22,72
2020/7/5,32,21,53
2020/7/6,33,22,53
2020/7/7,33,21,34
2020/7/8,32,21,74
2020/7/9,23,19,46
2020/7/10,25,21,64
2020/7/11,26,22,111
2020/7/12,28,21,133
2020/7/13,30,22,73
2020/7/14,31,22,54
2020/7/15,33,22,59
2020/7/16,33,25,70
2020/7/17,29,23,67
2020/7/18,27,22,64
2020/7/19,32,20,55
2020/7/20,34,24,77
2020/7/21,34,22,66
2020/7/22,32,22,85
2020/7/23,32,22,67
2020/7/24,37,24,60
2020/7/25,33,24,70
2020/7/26,25,21,47
2020/7/27,24,21,81
2020/7/28,28,22,109
2020/7/29,31,24,79
2020/7/30,34,25,113
2020/7/31,34,24,64
2020/8/1,30,25,55
2020/8/2,33,22,46
2020/8/3,33,24,46
2020/8/4,37,26,43
2020/8/5,30,23,55
2020/8/6,31,23,50
2020/8/7,33,22,40
2020/8/8,31,23,49
2020/8/9,33,22,47
2020/8/10,32,23,39
2020/8/11,34,25,71
2020/8/12,31,24,53
2020/8/13,32,23,30
2020/8/14,34,26,62
2020/8/15,31,22,52
2020/8/16,25,21,58
2020/8/17,27,24,61
2020/8/18,26,22,57
2020/8/19,26,19,26
2020/8/20,26,17,35
2020/8/21,28,17,46
2020/8/22,28,19,62
2020/8/23,28,21,77
2020/8/24,33,20,35
2020/8/25,34,22,54
2020/8/26,28,22,94
2020/8/27,32,19,84
2020/8/28,30,22,44
2020/8/29,30,23,72
2020/8/30,30,22,71
2020/8/31,26,18,36
2020/9/1,33,20,33
2020/9/2,29,19,33
2020/9/3,28,16,21
2020/9/4,30,17,45
2020/9/5,30,19,60
2020/9/6,30,20,99
2020/9/7,31,21,37
2020/9/8,31,19,25
2020/9/9,31,18,28
2020/9/10,26,18,24
2020/9/11,26,19,19
2020/9/12,26,18,22
2020/9/13,27,19,40
2020/9/14,25,19,58
2020/9/15,23,17,49
2020/9/16,26,15,21
2020/9/17,27,13,22
2020/9/18,28,12,32
2020/9/19,29,14,40
2020/9/20,26,15,34
2020/9/21,26,16,63
2020/9/22,26,16,46
2020/9/23,18,16,58
2020/9/24,24,13,47
2020/9/25,25,14,58
2020/9/26,25,14,75
2020/9/27,26,14,87
2020/9/28,25,14,108
2020/9/29,19,9,26
2020/9/30,20,13,33
2020/10/1,20,14,61
2020/10/2,21,8,30
2020/10/3,22,9,40
2020/10/4,18,8,27
2020/10/5,19,6,23
2020/10/6,21,10,51
2020/10/7,22,9,80
2020/10/8,18,11,110
2020/10/9,21,10,140
2020/10/10,23,12,181
2020/10/11,19,7,72
2020/10/12,18,6,28
2020/10/13,21,7,41
2020/10/14,13,5,32
2020/10/15,18,8,79
2020/10/16,19,4,37
2020/10/17,22,7,45
2020/10/18,21,5,56
2020/10/19,21,7,82
2020/10/20,17,8,157
2020/10/21,16,3,121
2020/10/22,15,3,57
2020/10/23,18,3,32
2020/10/24,20,7,61
2020/10/25,19,7,111
2020/10/26,21,7,127
2020/10/27,17,5,47
2020/10/28,18,5,45
2020/10/29,19,3,65
2020/10/30,17,8,72
2020/10/31,19,6,154
2020/11/1,17,4,53
2020/11/2,12,0,45
2020/11/3,14,0,33
2020/11/4,15,2,65
2020/11/5,15,4,116
2020/11/6,18,4,118
2020/11/7,19,2,95
2020/11/8,15,1,41
2020/11/9,16,2,52
2020/11/10,18,2,68
2020/11/11,14,4,141
2020/11/12,20,4,124
2020/11/13,16,4,48
2020/11/14,12,4,74
2020/11/15,16,5,107
2020/11/16,13,8,133
2020/11/17,10,8,140
2020/11/18,11,4,63
2020/11/19,9,-2,16
2020/11/20,8,-1,21
2020/11/21,2,-2,49
2020/11/22,3,-5,16
2020/11/23,6,-3,31
2020/11/24,7,-4,48
2020/11/25,6,-4,50
2020/11/26,5,-4,36
2020/11/27,5,-3,28
2020/11/28,3,-5,27
2020/11/29,5,-4,33
2020/11/30,4,-6,36
2020/12/1,3,-4,42
2020/12/2,3,-4,36
2020/12/3,4,-4,21
2020/12/4,4,-6,22
2020/12/5,4,-5,39
2020/12/6,6,-4,59
2020/12/7,1,-7,26
2020/12/8,2,-6,39
2020/12/9,3,-5,71
2020/12/10,7,-4,87
2020/12/11,6,-6,50
2020/12/12,2,-6,102
2020/12/13,-2,-9,29
2020/12/14,0,-9,25
2020/12/15,0,-8,38
2020/12/16,1,-9,44
2020/12/17,3,-6,66
2020/12/18,0,-9,31
2020/12/19,3,-6,45
2020/12/20,5,-7,46
2020/12/21,5,-8,56
2020/12/22,6,-6,76
2020/12/23,7,-5,93
2020/12/24,4,-7,51
2020/12/25,7,-7,67
2020/12/26,3,-6,75
2020/12/27,7,-5,85
2020/12/28,2,-10,83
2020/12/29,-8,-13,56
2020/12/30,-5,-13,26
2020/12/31,0,-11,31
2021/1/1,1,-11,54
2021/1/2,0,-9,78
2021/1/3,-1,-8,31
2021/1/4,0,-11,36
2021/1/5,-2,-11,32
2021/1/6,0,-19,64
2021/1/7,-7,-14,34
2021/1/8,-2,-10,31
2021/1/9,1,-8,41
2021/1/10,1,-7,26
2021/1/11,2,-8,57
2021/1/12,4,-6,99
2021/1/13,8,-6,177
2021/1/14,2,-4,81
2021/1/15,3,-8,75
2021/1/16,0,-8,30
2021/1/17,3,-7,49
2021/1/18,4,-6,63
2021/1/19,-3,-8,48
2021/1/20,1,-5,71
2021/1/21,5,-5,109
2021/1/22,5,-7,114
2021/1/23,3,-6,103
2021/1/24,5,-5,139
2021/1/25,1,-6,176
2021/1/26,6,-7,117
2021/1/27,3,-6,63
2021/1/28,-1,-9,49
2021/1/29,0,-8,52
2021/1/30,7,-7,68
2021/1/31,0,-5,90
2021/2/1,2,-10,51
2021/2/2,0,-8,35
2021/2/3,7,-6,50
2021/2/4,10,-5,59
2021/2/5,15,-2,70
2021/2/6,16,-3,81
2021/2/7,7,-5,47
2021/2/8,7,-5,45
2021/2/9,10,-3,88
2021/2/10,15,-3,110
2021/2/11,11,-1,220
2021/2/12,14,-1,255
2021/2/13,7,2,264
2021/2/14,4,-5,135
2021/2/15,5,-4,31
2021/2/16,0,-7,37
2021/2/17,3,-7,24
2021/2/18,7,-5,40
2021/2/19,16,-2,63
2021/2/20,20,3,73
2021/2/21,25,4,114
2021/2/22,12,0,61
2021/2/23,3,-3,46
2021/2/24,5,-3,62
2021/2/25,8,-3,107
2021/2/26,11,-3,171
2021/2/27,11,1,143
2021/2/28,5,0,128
2021/3/1,5,-6,34
2021/3/2,4,-2,83
2021/3/3,6,2,153
2021/3/4,11,2,198
2021/3/5,9,-2,169
2021/3/6,4,-5,49
2021/3/7,8,-2,76
2021/3/8,10,1,109
2021/3/9,15,3,182
2021/3/10,16,8,248
2021/3/11,17,7,143
2021/3/12,10,6,138
2021/3/13,14,8,152
2021/3/14,13,9,178
2021/3/15,12,2,347
2021/3/16,15,3,172
2021/3/17,13,6,195
2021/3/18,8,3,98
2021/3/19,10,5,94
2021/3/20,13,3,83
2021/3/21,12,1,29
2021/3/22,19,5,122
2021/3/23,23,8,90
2021/3/24,21,6,103
2021/3/25,21,11,81
2021/3/26,14,10,168
2021/3/27,18,10,181
2021/3/28,18,8,282
2021/3/29,19,6,91
2021/3/30,21,9,144
2021/3/31,24,10,126
2021/4/1,18,12,118
2021/4/2,16,10,56
2021/4/3,18,7,42
2021/4/4,19,7,30
2021/4/5,18,8,60
2021/4/6,21,10,57
2021/4/7,19,5,74
2021/4/8,19,8,62
2021/4/9,18,6,67
2021/4/10,20,12,90
2021/4/11,20,9,79
2021/4/12,16,8,82
2021/4/13,16,5,27
2021/4/14,22,10,69
2021/4/15,21,8,168
2021/4/16,17,9,119
2021/4/17,20,5,33
2021/4/18,25,10,63
2021/4/19,27,15,100
2021/4/20,26,13,96
2021/4/21,21,12,67
2021/4/22,16,9,56
2021/4/23,21,12,49
2021/4/24,18,13,39
2021/4/25,20,10,64
2021/4/26,22,8,64
2021/4/27,22,11,73
2021/4/28,22,10,61
2021/4/29,18,8,58
2021/4/30,14,6,30
2021/5/1,20,7,33
2021/5/2,21,13,39
2021/5/3,24,13,63
2021/5/4,23,10,53
2021/5/5,27,16,70
2021/5/6,19,14,185
2021/5/7,25,17,120
2021/5/8,26,12,174
2021/5/9,26,13,50
2021/5/10,23,13,54
2021/5/11,24,13,55
2021/5/12,26,15,52
2021/5/13,23,16,69
2021/5/14,23,18,67
2021/5/15,19,15,37
2021/5/16,26,13,26
2021/5/17,31,15,48
2021/5/18,32,19,61
2021/5/19,30,19,71
2021/5/20,28,16,67
2021/5/21,30,20,84
2021/5/22,32,16,72
2021/5/23,26,13,115
2021/5/24,24,13,57
2021/5/25,28,15,63
2021/5/26,28,13,57
2021/5/27,28,16,47
2021/5/28,29,16,29
2021/5/29,27,15,44
2021/5/30,27,15,46
2021/5/31,19,14,49
2021/6/1,28,17,42
2021/6/2,29,14,49
2021/6/3,28,17,28
2021/6/4,30,16,35
2021/6/5,34,18,32
2021/6/6,33,20,50
2021/6/7,27,19,53
2021/6/8,29,21,69
2021/6/9,25,19,56
2021/6/10,32,18,31
2021/6/11,36,20,54
2021/6/12,36,24,88
2021/6/13,34,23,82
2021/6/14,25,23,31
2021/6/15,30,21,58
2021/6/16,22,20,37
2021/6/17,32,19,29
2021/6/18,34,19,26
2021/6/19,37,20,30
2021/6/20,36,21,34
2021/6/21,35,21,71
2021/6/22,32,21,48
2021/6/23,25,22,38
2021/6/24,27,20,44
2021/6/25,28,22,58
2021/6/26,28,23,43
2021/6/27,33,23,71
2021/6/28,30,22,71
2021/6/29,27,22,44
2021/6/30,30,23,41
2021/7/1,30,22,37
2021/7/2,30,19,37
2021/7/3,28,21,41
2021/7/4,33,21,33
2021/7/5,32,21,41
2021/7/6,30,22,40
2021/7/7,32,23,61
2021/7/8,33,22,45
2021/7/9,32,23,58
2021/7/10,31,23,65
2021/7/11,30,23,52
2021/7/12,25,21,16
2021/7/13,31,24,25
2021/7/14,32,24,62
2021/7/15,32,24,46
2021/7/16,30,24,37
2021/7/17,29,23,28
2021/7/18,27,23,29
2021/7/19,30,23,29
2021/7/20,31,23,38
2021/7/21,28,23,37
2021/7/22,28,23,31
2021/7/23,31,23,31
2021/7/24,32,24,51
2021/7/25,33,25,56
2021/7/26,32,25,61
2021/7/27,27,24,27
2021/7/28,28,24,24
2021/7/29,26,22,21
2021/7/30,30,22,20
2021/7/31,34,23,53
2021/8/1,32,23,25
2021/8/2,33,23,27
2021/8/3,31,24,44
2021/8/4,31,23,48
2021/8/5,32,23,54
2021/8/6,33,22,44
2021/8/7,33,23,74
2021/8/8,31,23,72
2021/8/9,30,22,45
2021/8/10,33,23,40
2021/8/11,30,23,37
2021/8/12,29,22,39
2021/8/13,29,22,36
2021/8/14,28,22,37
2021/8/15,28,22,37
2021/8/16,28,22,38
2021/8/17,30,21,32
2021/8/18,28,23,36
2021/8/19,24,20,31
2021/8/20,28,21,32
2021/8/21,31,22,36
2021/8/22,30,23,64
2021/8/23,30,20,54
2021/8/24,27,19,25
2021/8/25,28,19,23
2021/8/26,30,19,24
2021/8/27,30,18,28
2021/8/28,28,18,33
2021/8/29,28,20,43
2021/8/30,28,20,54
2021/8/31,27,17,46
2021/9/1,29,18,41
2021/9/2,29,20,53
2021/9/3,30,22,61
2021/9/4,24,19,40
2021/9/5,24,22,30
2021/9/6,23,14,19
2021/9/7,27,17,32
2021/9/8,28,19,44
2021/9/9,27,18,49
2021/9/10,29,19,63
2021/9/11,31,21,76
2021/9/12,23,20,51
2021/9/13,29,20,39
2021/9/14,25,17,42
2021/9/15,25,19,46
2021/9/16,24,17,36
2021/9/17,27,17,31
2021/9/18,24,19,47
2021/9/19,18,16,36
2021/9/20,21,15,21
2021/9/21,27,14,23
2021/9/22,29,17,32
2021/9/23,27,17,52
2021/9/24,19,18,30
2021/9/25,24,18,33
2021/9/26,20,18,26
2021/9/27,28,17,34
2021/9/28,24,17,49
2021/9/29,28,17,46
2021/9/30,22,16,59
2021/10/1,23,16,32
2021/10/2,21,17,60
2021/10/3,21,15,52
2021/10/4,18,12,19
2021/10/5,15,12,17
2021/10/6,12,6,13
2021/10/7,19,7,18
2021/10/8,20,11,35
2021/10/9,14,12,39
2021/10/10,18,6,27
2021/10/11,19,5,35
2021/10/12,20,9,38
2021/10/13,20,11,66
2021/10/14,19,11,47
2021/10/15,20,5,32
2021/10/16,12,1,24
2021/10/17,15,2,38
2021/10/18,17,4,71
2021/10/19,14,1,22
2021/10/20,14,3,49
2021/10/21,19,5,40
2021/10/22,18,2,32
2021/10/23,18,3,55
2021/10/24,17,4,109
2021/10/25,18,7,175
2021/10/26,22,5,102
2021/10/27,21,6,29
2021/10/28,19,7,49
2021/10/29,19,6,105
2021/10/30,20,8,145
2021/10/31,18,5,57
2021/11/1,13,6,86
2021/11/2,12,4,89
2021/11/3,12,5,121
2021/11/4,14,7,164
2021/11/5,12,10,180
2021/11/6,12,-1,119
2021/11/7,1,-4,14
2021/11/8,7,-2,21
2021/11/9,11,1,20
2021/11/10,14,2,19
2021/11/11,13,0,20
2021/11/12,15,0,38
2021/11/13,18,1,59
2021/11/14,16,2,58
2021/11/15,11,0,77
2021/11/16,11,2,78
